name,id,new_id,x,y,address,owner_name,notes,category
رويال القطان,1,90009876,47.97778329,29.36814869,المرقاب- قطعة 1- شارع الشهداء,السيد/ بدر ناصر علي القطان,,royal
رويال كيفان,2,16719191,47.95253465,29.34344017,كيفان ق 5 نادي الكويت الرياضي,ص/ طلال محمد احمد ملحم,,royal
رويال شرق,3,90006245,47.98804957,29.37648837,شرق ق 5 مبني 3 ب ,ص/ عبد العزيز خالد الحميدي الخالدي,,royal
رويال 3,4,15888882,48.05587117,29.32928071,السالمية- قطعة 226- شارع عمان,ص/ عادل علي عبد الحسين بو عباس,,royal
رويال الجابرية اثنين,5,90506522,48.02546914,29.32113287,الجابرية ق 3ب مبني 66 شارع ابراهيم معرفي,ص/ مي صقر سعد الثويني,,royal
رويال السالمية 1,6,90256332,48.0569666,29.33662374,السالمية- قطعة 9- شارع بغداد,ص/ جبر احمد العبد الله الجبر,,royal
رويال المعالي,7,17853018,47.95302129,29.27562761,الجابريه ق 3ب شارع 11 قسيمه 43,ص/ فاطمه يوسف حسين اشكناني,,royal
رويال حولي,8,17854897,48.01661886,29.32612901,حولى قطعة 139 شارع شرحبيل,ص/ مني توفيق محمد صالح,,royal
رويال سلوي,9,11907724,48.08317718,29.28227688,سلوي ق 11 قسيمه 360,ص/ ازهار حمود بدر الاستاذ,,royal
رويال 1,10,93035199,48.0536472,29.33370971,السالمية قطعة 35 شارع عمان,ص/ ريم بدر ناصر ثاني,,royal
رويال الفاون,11,11260617,48.08224249,29.33333173,السالمية ق 5 شارع الخنساء,ص/ فاطمة إسماعيل عبد الله البناء,,royal
رويال السالمية 2,12,16668902,48.05478452,29.3362247,السالمية ق 9 مبني 9,ص/ مريم محمود محمد نجم,,royal
رويال الرجاء,13,92921105,48.05459488,29.32982097,السالمية ق 238 شارع عمان,ص/ سكينة محمد غلوم,,royal
رويال الجابرية بلس,14,12133142,48.03058821,29.3219626,الجابرية ق 3ب قسيمة 38,ص/ اسيل محمد يوسف الحساوي,,royal
رويال 2,15,12087844,47.99657303,29.31843392,السالمية ق 11 شارع عبد الله فضالة,ص/ إيمان شاكر عوض نظر,,royal
رويال فور,16,15155849,48.01779505,29.32216047,الجابرية قطعة1أ شارع1 قسيمة 88,ص/زينب عبدالله محمد,,royal
رويال السالميه,17,93746011,48.08653468,29.34294996,السالمية ق 82 مبني 4,ص/ فاطمه منصور صرخوه,,royal
رويال بلس,18,16603551,48.0788067,29.33184096,السالمية ق 182 شارق قطر,ص/ اسماء ضاوي حسن العجمي,,royal
رويال الشعب,19,16169564,48.03062912,29.34965726,الشعب ق 8 قسيمه 82,ص/ مريم عادل احمد عبد الرسول,,royal
رويال فايف,20,12097006,48.02246322,29.32374956,الجابرية ق 1 أ شارع 105,ص/ فتوح صلدق حسن الحواج,,royal
رويال حولي اثنين,21,21105776,48.02736407,29.33257064,حولي ق 1 شارع تونس قسيمة 11,ص/ زينب عبد الكريم حسن سلطان,,royal
رويال المنقف,22,90907596,48.13706234,29.10168589,المنقف ق 4 شارع 28 ,ص/ مني فياض عبد الرزاق الكاظمي,رويال المرقاب,royal
رويال العقيلة,23,93458933,48.09940006,29.17024177,العقيلة ق 5 شارع 250 ,ص/ اليزابيث أليس محمد,,royal
رويال المنقف اثنين,24,15900001,48.12842328,29.10385387,المنقف ق 4 شارع عبد الله الحميدي الغانم,ص/ نجاح دلي علوان العنزي,,royal
رويال المهبولة,25,15222546,48.12390031,29.15385678,المهبولة ق 4 قسيمة 4أ-4ب ,ص/ محمد عيال حمود العنزي,,royal
رويال توب,26,19980643,48.12688695,29.147347,المهبولة ق 4 قسيمة 109,ص/ عادل ابراهيم عبد الله اسحق التركيت,,royal
رويال المنقف ثري,27,14711954,48.12531545,29.10165176,المنقف-قطعة 04-قسيمة 5415-شارع 16,ص/منيه عبدالمحسن سليمان,,royal
رويال الاحمدي,28,19901618,48.08119894,29.08531674,شرق الاحمدي ق 9 قسيمة 19,ص/ بدر رضا على محمد بوشهري,,royal
رويال الفحيحيل بلس,29,19856589,48.12306461,29.08355705,الفحيحيل ق 33 قسيمة 29,ص/ ايمان فاضل الصفار,,royal
رويال العقيلة فور,30,21548083,48.09727712,29.16957934,العقيلة ق5 قسيمة80 مجمع سما مول,ص/بشاير سعود عبدالعزيز المحروس,,royal
رويال,31,18047704,48.13232965,29.07683729,الفحيحيل ق 7 شارع الدبوس البرج الاخضر,ص/ دلال خليل ابراهيم قمبر,,royal
رويال صباح السالم,32,90366937,48.08868313,29.24885566,صباح السالم ق 2 قسيمه 52,ص/ شيماء جعفر عيسي الموسوي,,royal
رويال صباح السالم 2,33,20556516,48.0804573,29.25351849,صباح السالم ق 3 شارع 30 قسيمه 98,ص/ نوره عادل محمد القصار,,royal
رويال المهبولة تو,34,19271249,48.1218075,29.14561892,المهبولة ق 2 شارع 226 ,ص/ صمود فلاح سند السيحان,,royal
رويال العقيلة 3,35,19614846,48.09934729,29.16883549,العقيلة ق 5 مبني 92,ص/ لمياء عيسى السيد عبد الوهاب الرفاعي,,royal
رويال العقيلة 2,36,20790417,48.09410197,29.17269487,العقيلة ق 5 قسيمة55 محل 59-60,ص/ شيخة اسعد رميح عثمان الرميح,,royal
رويال صباح السالم فايف,37,95654209,48.08488094,29.25724052,صباح السسالم-قطعة 1-قسيمة 524-شارع 104,ص/نور سعد محمد العوضي,,royal
رويال صباح السالم ثلاثة,38,21357906,48.08203889,29.25407964,صباح السالم ق 3 ش 301,ص/ انوار فلاح عودة العنزي,,royal
